"","Host","Amenity"
"1",1,"Free parking on premise"
"2",1,"Cable TV"
"3",1,"Internet"
"4",1,"Dryer"
"5",1,"Hair dryer"
"6",1,"Iron"
"7",1,"Heating"
"8",1,"Washer"
"9",1,"TV"
"10",1,"Kitchen"
"11",1,"Wireless Internet"
"12",2,"Internet"
"13",2,"Laptop friendly workspace"
"14",2,"Hair dryer"
"15",2,"Essentials"
"16",2,"Hangers"
"17",2,"Heating"
"18",2,"TV"
"19",2,"Kitchen"
"20",2,"Wireless Internet"
"21",3,"Internet"
"22",3,"Hair dryer"
"23",3,"Iron"
"24",3,"Essentials"
"25",3,"Hangers"
"26",3,"Washer"
"27",3,"TV"
"28",3,"Kitchen"
"29",3,"Wireless Internet"
"30",4,"Internet"
"31",4,"Hair dryer"
"32",4,"Suitable for events"
"33",4,"Essentials"
"34",4,"Hangers"
"35",4,"Heating"
"36",4,"Wireless Internet"
"37",5,"Free parking on premise"
"38",5,"Internet"
"39",5,"Laptop friendly workspace"
"40",5,"Hair dryer"
"41",5,"Iron"
"42",5,"Essentials"
"43",5,"Heating"
"44",5,"Washer"
"45",5,"Kitchen"
"46",5,"Wireless Internet"
"47",6,"Cable TV"
"48",6,"Internet"
"49",6,"Dryer"
"50",6,"Laptop friendly workspace"
"51",6,"Iron"
"52",6,"Essentials"
"53",6,"Heating"
"54",6,"Washer"
"55",6,"TV"
"56",6,"Kitchen"
"57",6,"Wireless Internet"
"58",7,"Cable TV"
"59",7,"Internet"
"60",7,"Laptop friendly workspace"
"61",7,"Hair dryer"
"62",7,"Essentials"
"63",7,"Hangers"
"64",7,"Heating"
"65",7,"TV"
"66",7,"Kitchen"
"67",7,"Wireless Internet"
"68",8,"Internet"
"69",8,"Heating"
"70",8,"Kitchen"
"71",8,"Wireless Internet"
"72",9,"Internet"
"73",9,"Laptop friendly workspace"
"74",9,"Essentials"
"75",9,"Hangers"
"76",9,"Heating"
"77",9,"Washer"
"78",9,"Kitchen"
"79",9,"Wireless Internet"
"80",10,"Cable TV"
"81",10,"Internet"
"82",10,"Iron"
